Round,Date, Teama,FThome,FTaway,HThome,HTaway,,Teamb,1,2,Description
1,(Fri) 11 Aug 2017 (32),Leicester City FC,4,3,2,2,,Arsenal FC,Arsenal FC ,Leicester City FC,Arsenal FC   Vs. Leicester City FC
1,(Sat) 12 Aug 2017 (32),Manchester City FC,0,2,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC ,Manchester City FC,Brighton & Hove Albion FC   Vs. Manchester City FC
1,(Sat) 12 Aug 2017 (32),Burnley FC,2,3,0,3,,Chelsea FC,Chelsea FC,Burnley FC,Chelsea FC  Vs. Burnley FC
1,(Sat) 12 Aug 2017 (32),Huddersfield Town AFC,0,3,0,2,,Crystal Palace FC,Crystal Palace FC,Huddersfield Town AFC,Crystal Palace FC  Vs. Huddersfield Town AFC
1,(Sat) 12 Aug 2017 (32),Stoke City FC,1,0,1,0,,Everton FC,Everton FC,Stoke City FC,Everton FC  Vs. Stoke City FC
1,(Sat) 12 Aug 2017 (32),Swansea City AFC,0,0,0,0,,Southampton FC,Southampton FC,Swansea City AFC,Southampton FC  Vs. Swansea City AFC
1,(Sat) 12 Aug 2017 (32),Liverpool FC,3,3,2,1,,Watford FC,Watford FC,Liverpool FC,Watford FC  Vs. Liverpool FC
1,(Sat) 12 Aug 2017 (32),AFC Bournemouth,1,0,1,0,,West Bromwich Albion FC,West Bromwich Albion FC,AFC Bournemouth,West Bromwich Albion FC  Vs. AFC Bournemouth
1,(Sun) 13 Aug 2017 (32),West Ham United FC,4,0,1,0,,Manchester United FC,Manchester United FC,West Ham United FC,Manchester United FC  Vs. West Ham United FC
1,(Sun) 13 Aug 2017 (32),Tottenham Hotspur FC,0,2,0,0,,Newcastle United FC,Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC  Vs. Tottenham Hotspur FC
2,(Sat) 19 Aug 2017 (33),Watford FC,0,2,0,0,,AFC Bournemouth,AFC Bournemouth,Watford FC,AFC Bournemouth  Vs. Watford FC
2,(Sat) 19 Aug 2017 (33),West Bromwich Albion FC,0,1,0,0,,Burnley FC,Burnley FC,West Bromwich Albion FC,Burnley FC  Vs. West Bromwich Albion FC
2,(Sat) 19 Aug 2017 (33),Brighton & Hove Albion FC,2,0,1,0,,Leicester City FC,Leicester City FC,Brighton & Hove Albion FC,Leicester City FC  Vs. Brighton & Hove Albion FC
2,(Sat) 19 Aug 2017 (33),Crystal Palace FC,1,0,0,0,,Liverpool FC,Liverpool FC,Crystal Palace FC,Liverpool FC  Vs. Crystal Palace FC
2,(Sat) 19 Aug 2017 (33),West Ham United FC,3,2,2,1,,Southampton FC,Southampton FC,West Ham United FC,Southampton FC  Vs. West Ham United FC
2,(Sat) 19 Aug 2017 (33),Arsenal FC,1,0,0,0,,Stoke City FC,Stoke City FC,Arsenal FC,Stoke City FC  Vs. Arsenal FC
2,(Sat) 19 Aug 2017 (33),Manchester United FC,0,4,0,1,,Swansea City AFC,Swansea City AFC,Manchester United FC,Swansea City AFC  Vs. Manchester United FC
2,(Sun) 20 Aug 2017 (33),Newcastle United FC,1,0,0,0,,Huddersfield Town AFC,Huddersfield Town AFC,Newcastle United FC,Huddersfield Town AFC  Vs. Newcastle United FC
2,(Sun) 20 Aug 2017 (33),Chelsea FC,1,2,0,1,,Tottenham Hotspur FC,Tottenham Hotspur FC,Chelsea FC,Tottenham Hotspur FC  Vs. Chelsea FC
2,(Mon) 21 Aug 2017 (34),Everton FC,1,1,0,1,,Manchester City FC,Manchester City FC,Everton FC,Manchester City FC  Vs. Everton FC
3,(Sat) 26 Aug 2017 (34),Manchester City FC,1,2,1,1,,AFC Bournemouth,AFC Bournemouth,Manchester City FC,AFC Bournemouth  Vs. Manchester City FC
3,(Sat) 26 Aug 2017 (34),Swansea City AFC,0,2,0,1,,Crystal Palace FC,Crystal Palace FC,Swansea City AFC,Crystal Palace FC  Vs. Swansea City AFC
3,(Sat) 26 Aug 2017 (34),Southampton FC,0,0,0,0,,Huddersfield Town AFC,Huddersfield Town AFC,Southampton FC,Huddersfield Town AFC  Vs. Southampton FC
3,(Sat) 26 Aug 2017 (34),Leicester City FC,2,0,0,0,,Manchester United FC,Manchester United FC,Leicester City FC,Manchester United FC  Vs. Leicester City FC
3,(Sat) 26 Aug 2017 (34),West Ham United FC,3,0,1,0,,Newcastle United FC,Newcastle United FC,West Ham United FC,Newcastle United FC  Vs. West Ham United FC
3,(Sat) 26 Aug 2017 (34),Brighton & Hove Albion FC,0,0,0,0,,Watford FC,Watford FC,Brighton & Hove Albion FC,Watford FC  Vs. Brighton & Hove Albion FC
3,(Sun) 27 Aug 2017 (34),Everton FC,2,0,2,0,,Chelsea FC,Chelsea FC,Everton FC,Chelsea FC  Vs. Everton FC
3,(Sun) 27 Aug 2017 (34),Arsenal FC,4,0,2,0,,Liverpool FC,Liverpool FC,Arsenal FC,Liverpool FC  Vs. Arsenal FC
3,(Sun) 27 Aug 2017 (34),Burnley FC,1,1,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Burnley FC,Tottenham Hotspur FC  Vs. Burnley FC
3,(Sun) 27 Aug 2017 (34),Stoke City FC,1,1,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Stoke City FC,West Bromwich Albion FC  Vs. Stoke City FC
4,(Sat) 9 Sep 2017 (36),AFC Bournemouth,3,0,2,0,,Arsenal FC,Arsenal FC,AFC Bournemouth,Arsenal FC  Vs. AFC Bournemouth
4,(Sat) 9 Sep 2017 (36),West Bromwich Albion FC,3,1,1,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,West Bromwich Albion FC,Brighton & Hove Albion FC  Vs. West Bromwich Albion FC
4,(Sat) 9 Sep 2017 (36),Tottenham Hotspur FC,0,3,0,2,,Everton FC,Everton FC,Tottenham Hotspur FC,Everton FC  Vs. Tottenham Hotspur FC
4,(Sat) 9 Sep 2017 (36),Chelsea FC,1,2,0,1,,Leicester City FC,Leicester City FC,Chelsea FC,Leicester City FC  Vs. Chelsea FC
4,(Sat) 9 Sep 2017 (36),Liverpool FC,5,0,2,0,,Manchester City FC,Manchester City FC,Liverpool FC,Manchester City FC  Vs. Liverpool FC
4,(Sat) 9 Sep 2017 (36),Watford FC,0,2,0,1,,Southampton FC,Southampton FC,Watford FC,Southampton FC  Vs. Watford FC
4,(Sat) 9 Sep 2017 (36),Manchester United FC,2,2,1,1,,Stoke City FC,Stoke City FC,Manchester United FC,Stoke City FC  Vs. Manchester United FC
4,(Sun) 10 Sep 2017 (36),Crystal Palace FC,1,0,1,0,,Burnley FC,Burnley FC,Crystal Palace FC,Burnley FC  Vs. Crystal Palace FC
4,(Sun) 10 Sep 2017 (36),Newcastle United FC,0,1,0,0,,Swansea City AFC,Swansea City AFC,Newcastle United FC,Swansea City AFC  Vs. Newcastle United FC
4,(Mon) 11 Sep 2017 (37),Huddersfield Town AFC,2,0,0,0,,West Ham United FC,West Ham United FC,Huddersfield Town AFC,West Ham United FC  Vs. Huddersfield Town AFC
5,(Fri) 15 Sep 2017 (37),Brighton & Hove Albion FC,2,1,0,0,,AFC Bournemouth,AFC Bournemouth,Brighton & Hove Albion FC,AFC Bournemouth  Vs. Brighton & Hove Albion FC
